Price For Each Session,Single Session,Five to Ten Sessions,Eleven or more Sessions
Under 2000 sq. ft.,$250.00,$240.00,$230.00
Under 3000 sq. ft.,$325.00,$315.00,$305.00
Under 4000 sq. ft.,$400.00,$390.00,$380.00
Under 5000 sq. ft.,$475.00,$465.00,$455.00
Under 6000 sq. ft.,$550.00,$540.00,$530.00
Under 7000 sq. ft.,$625.00,$615.00,$605.00
